location,total_sqft,bath,price,rooms
Silver Springs Layout,1084,2.0,50.0,2.0
Chandapura,1015,2.0,25.88,2.0
Kanakpura Road,1017,2.0,51.25,2.0
Haralur Road,1027,2.0,44.0,2.0
Electronic City Phase II,1069,2.0,45.0,2.0
Hebbal,1349,2.0,98.2,2.0
9th Phase JP Nagar,1005,2.0,50.0,2.0
Jakkur,1417,2.0,75.0,2.0
TC Palaya,1475,3.0,98.0,3.0
Maruthi Sevanagar,950,2.0,47.0,2.0
RMV 2nd Stage,2000,4.0,120.0,4.0
Giri Nagar,880,3.0,140.0,3.0
Sarjapur  Road,1863,3.0,104.0,4.0
Singasandra,1010,2.0,29.5,2.0
Kalena Agrahara,1425,2.0,70.0,3.0
Vijayanagar,1450,3.0,100.0,3.0
Kothanur,1847,3.0,105.0,3.0
AECS Layout,1100,2.0,45.0,2.0
Kanakpura Road,525,1.0,26.0,1.0
Mallasandra,1665,3.0,95.0,3.0
Begur,1664,4.0,65.0,4.0
JP Nagar,1850,3.0,150.0,3.0
Panathur,1438,2.0,100.0,2.0
Sunder Ram Shetty Nagar,1560,3.0,115.0,3.0
Yelahanka,1350,2.0,55.55,2.0
Kanakpura Road,1550,3.0,67.0,3.0
Malleshpalya,1140,2.0,46.5,2.0
Srirampura,1200,5.0,180.0,5.0
Kodathi,850,2.0,27.0,2.0
Whitefield,1280,2.0,75.0,2.0
Munnekollal,1170,2.0,52.0,2.0
Motappa Layout,1113,2.0,51.0,2.0
Hennur Road,1385,2.0,83.09,2.0
Electronic City,1128,2.0,65.0,2.0
Marathahalli,1200,2.0,128.0,2.0
Akshaya Vana,1200,4.0,165.0,4.0
Rajaji Nagar,2390,3.0,415.0,3.0
Giri Nagar,2400,4.0,400.0,4.0
Haralur Road,1464,3.0,56.0,3.0
Manayata Tech Park,1200,2.0,55.0,2.0
Kaval Byrasandra,1200,2.0,52.0,2.0
Kaggalipura,1150,2.0,55.0,3.0
Basavanna Nagar,1645,3.0,95.0,3.0
Sarjapur  Road,1000,2.0,67.0,2.0
Haralur Road,2650,4.0,198.0,4.0
6th Phase JP Nagar,1192,2.0,74.0,2.0
Ulsoor,2135,3.0,215.0,3.0
Whitefield,1173,2.0,58.0,2.0
Uttarahalli,1020,2.0,45.0,2.0
Thigalarapalya,3122,6.0,230.0,4.0
Somasundara Palya,1600,3.0,64.0,3.0
T.C PALYA,1200,2.0,79.0,2.0
Muneshwara Nagar,1230,2.0,48.0,2.0
 Devarachikkanahalli,1250,2.0,40.0,2.0
Kalena Agrahara,1325,2.0,76.0,2.0
7th Phase JP Nagar,1850,3.0,150.0,3.0
Kanakpura Road,525,,21.53,1.0
Basaveshwara Nagar,1200,2.0,65.0,2.0
Bull Temple Road,1350,2.0,140.0,3.0
Bommasandra,1260,3.0,49.36,3.0
Prashanth Nagar,1800,3.0,150.0,3.0
Suragajakkanahalli,11,3.0,74.0,3.0
Ardendale,1100,2.0,43.25,2.0
Harlur,1508,2.0,77.0,2.0
Sampigehalli,1592,3.0,75.0,3.0
Akshaya Nagar,1388,2.0,57.0,2.0
Electronic City Phase II,630,1.0,28.35,1.0
RMV,2000,3.0,365.0,3.0
Banashankari3rd stage bigbazar,1762,3.0,125.0,3.0
Bagalur Main Road,950,2.0,50.0,2.0
Kodihalli,3252,5.0,335.0,4.0
Magadi Road,1116,2.0,50.0,2.0
Narayanapura,1308,2.0,89.04,2.0
MS Pallya,1200,3.0,90.0,3.0
Binny Mills Employees Colony,1500,4.0,230.0,4.0
Bannerghatta Road,500,1.0,18.5,1.0
Hennur,1075,2.0,52.0,2.0
Chandapura,530,1.0,11.66,1.0
Bellandur,1205,2.0,66.0,2.0
5th Phase JP Nagar,1075,2.0,60.0,2.0
KR Puram,930,2.0,39.0,2.0
Balagere,1380,2.0,60.0,2.0
Hebbal,2483,5.0,212.0,4.0
Kodigehaali,1166,2.0,55.0,2.0
Bannerghatta Road,1050,2.0,65.0,2.0
Gopalapura,2023.71,3.0,275.0,3.0
Begur Road,1200,2.0,46.8,2.0
Lakshminarayana Pura,1600,2.0,108.0,3.0
Billekahalli,1935,3.0,110.0,3.0
8th Phase JP Nagar,451,1.0,29.9,1.0
Electronic City,1800,3.0,95.0,3.0
Jalahalli,1400,3.0,77.0,3.0
Hegde Nagar,1801,3.0,115.0,3.0
Mahadevpura,1451,2.0,90.0,2.0
Anekal,1200,1.0,36.0,2.0
Begur Road,1160,2.0,44.0,2.0
Kengeri,1000,2.0,25.0,2.0
Kanakpura Road,950,2.0,40.0,2.0
"Hoodi Circle, ",1629,3.0,79.0,3.0
Vijayanagar,1580,2.0,134.0,3.0
Vijayanagar,1826,3.0,121.0,3.0
7th Phase JP Nagar,1245,2.0,94.0,2.0
Raja Rajeshwari Nagar,1145,2.0,45.79,2.0
Sompura,825,2.0,33.0,2.0
Yeshwanthpur,1693,3.0,108.0,3.0
Electronics City Phase 1,1113.27,2.0,53.0,2.0
Ashirvad Colony,1460,2.0,58.0,2.0
Doddathoguru,1050,2.0,32.0,2.0
Dodda Nekkundi,1260,2.0,55.0,2.0
K N Extension,700,3.0,120.0,6.0
Hosur Road,1656,2.0,120.0,2.0
Chandapura,1208,3.0,45.0,3.0
Whitefield,1910,3.0,161.0,3.0
Whitefield,3252,4.0,230.0,4.0
Battarahalli,1200,2.0,65.0,2.0
Gokula Extension,1200,4.0,175.0,4.0
7th Phase JP Nagar,1175,2.0,82.0,2.0
Kamakshipalya,1000,2.0,165.0,2.0
Bannerghatta Road,1200,2.0,125.0,4.0
Rajaji Nagar,2390,3.0,410.0,3.0
Rajaji Nagar,12000,6.0,2200.0,7.0
Sultan Palaya,550,1.0,62.0,2.0
Kengeri,34.46Sq. Meter,1.0,18.5,1.0
Sanne Amanikere,1185,2.0,38.0,2.0
Kengeri,750,2.0,38.0,2.0
Mahalakshmi Layout,1200,7.0,250.0,6.0
Kanakpura Road,1550,3.0,64.5,3.0
Amco Colony,1760,3.0,88.0,3.0
Billekahalli,1125,2.0,62.0,2.0
Nagarbhavi,1350,3.0,150.0,3.0
Anandapura,1000,2.0,55.0,2.0
Bommasandra Industrial Area,1090,2.0,31.48,2.0
TC Palaya,1200,2.0,60.0,2.0
Budigere,1991,4.0,103.0,3.0
Bommasandra,1060,2.0,26.5,2.0
Ambalipura,1105,2.0,75.0,2.0
Hoodi,985,2.0,67.0,2.0
Chandapura,1533,5.0,85.0,6.0
Balagere,1590,3.0,79.0,3.0
CV Raman Nagar,1120,2.0,55.0,2.0
Samethanahalli,1069,2.0,55.0,2.0
Marathahalli,1933,3.0,140.0,3.0
Hosur Road,1194,2.0,69.0,2.0
Brookefield,1150,2.0,69.0,2.0
Yelenahalli,1240,2.0,47.12,2.0
Raja Rajeshwari Nagar,1419,2.0,48.1,2.0
7th Phase JP Nagar,1200,8.0,250.0,8.0
Richmond Town,2150,4.0,240.0,3.0
Suddaguntepalya,1450,3.0,55.0,3.0
Udayapur Village,1630,3.0,68.29,3.0
Dasanapura,708,1.0,40.0,2.0
Kasavanhalli,1000,4.0,110.0,3.0
Whitefield,11890,4.0,700.0,4.0
Bellandur,1250,2.0,76.0,2.0
7th Phase JP Nagar,1400,2.0,95.0,3.0
Sarjapur  Road,1670,2.0,57.0,3.0
Ardendale,1750,3.0,100.0,3.0
Vittasandra,1404,2.0,71.0,2.0
Hoodi,1715,2.0,95.0,3.0
Electronic City,630,1.0,34.65,1.0
Harlur,1752.12,3.0,135.0,3.0
Hulimavu,1650,3.0,78.0,3.0
Raja Rajeshwari Nagar,1295,2.0,55.47,2.0
Giri Nagar,1800,3.0,252.0,3.0
Sarjapur  Road,1346,2.0,74.03,2.0
Thippasandra,1200,4.0,200.0,4.0
Hormavu,1150,2.0,55.0,2.0
Chikkabidarakallu,3309,4.0,325.0,4.0
Chandapura,1190,2.0,30.35,3.0
AECS Layout,1620,3.0,98.0,3.0
Marathahalli,950,2.0,46.96,2.0
1 Giri Nagar,5000,9.0,360.0,11.0
Harlur,2450,3.0,120.0,3.0
Electronic City Phase II,1220,2.0,35.23,3.0
Hoysalanagar,850,2.0,30.0,2.0
Padmanabhanagar,1020,2.0,63.0,2.0
Chikkalasandra,1100,2.0,50.0,2.0
Defence Colony,1150,2.0,126.0,2.0
Hebbal,1760,2.0,130.0,3.0
Ambalipura,1800,3.0,110.0,3.0
Akshaya Nagar,1070,2.0,54.0,2.0
2nd Stage Nagarbhavi,1500,4.0,220.0,4.0
Vidyaranyapura,1440,2.0,95.0,2.0
Amruthahalli,900,2.0,40.0,2.0
ITI Employees Layout,1200,4.0,230.0,4.0
Whitefield,1130,2.0,42.16,2.0
Koramangala,1320,2.0,165.0,2.0
Kodigehalli,1270,2.0,98.0,2.0
Patelappa Layout,1200,2.0,62.0,2.0
Ring Road Nagarbhavi,4800,4.0,235.0,4.0
NS Palya,1200,2.0,74.0,2.0
Subramanyapura,929,2.0,50.17,2.0
RMV 2nd Stage,1150,4.0,260.0,4.0
Basavangudi,1125,4.0,180.0,4.0
Kenchenahalli,500,3.0,65.0,5.0
3rd Block Hrbr Layout,1200,5.0,190.0,5.0
KUDLU MAIN ROAD,1464,3.0,56.0,3.0
7th Phase JP Nagar,3600,4.0,400.0,4.0
Bank Avenue,2000,4.0,99.0,4.0
Chikkalasandra,1208,2.0,49.0,2.0
Hebbal Kempapura,1130,2.0,60.0,2.0
Surabhi Layout,1753,3.0,120.0,3.0
Old Madras Road,4500,7.0,337.0,5.0
Banjara Layout,600,3.0,58.0,3.0
Hoodi,1196,2.0,94.42,2.0
5th Phase JP Nagar,1150,3.0,52.5,2.0
Electronic City,1128,2.0,63.0,2.0
Omkar Nagar,1000,2.0,53.0,2.0
Yelahanka,1035,2.0,45.0,2.0
Kereguddadahalli,950,2.0,32.0,2.0
Bisuvanahalli,1075,2.0,36.0,3.0
Whitefield,1040,2.0,48.5,2.0
Maragondanahalli,720,2.0,45.0,2.0
Lingadheeranahalli,1511,3.0,95.0,3.0
Silk Board,1300,3.0,58.0,3.0
Hoodi,1545,3.0,68.75,3.0
Shampura,375,2.0,26.0,1.0
Vidyaranyapura,1062,2.0,38.0,2.0
Kada Agrahara,1115,2.0,40.0,2.0
JP Nagar,1000,2.0,35.0,2.0
Kambipura,883,2.0,45.0,2.0
Sarjapur  Road,1195,2.0,70.0,2.0
BHEL Layout,1200,3.0,165.0,4.0
Medahalli,700,1.0,41.0,1.0
Vittasandra,1246,2.0,67.0,2.0
8th Phase JP Nagar,660,4.0,90.0,4.0
Banashankari Stage III,8500,4.0,145.0,4.0
Kashi Nagar,1600,4.0,80.0,4.0
Haralur Road,2805,5.0,154.0,4.0
Begur Road,1584,3.0,65.0,3.0
Sector 7 HSR Layout,3000,5.0,275.0,4.0
Hosur Road,1175,2.0,48.0,3.0
"Yemlur, Old Airport Road, ",1595,3.0,115.0,3.0
VHBCS Layout,1353,2.0,110.0,2.0
Electronic City,1599,3.0,125.0,3.0
Whitefield,1150,2.0,70.0,2.0
Jakkur,5230,6.0,465.0,4.0
KR Puram,1155,2.0,42.74,2.0
Ittamadu,1200,2.0,85.0,1.0
Electronic City Phase II,1000,2.0,25.0,2.0
Thanisandra,3000,4.0,120.0,4.0
Rajiv Nagar,1867,3.0,160.0,3.0
Ramagondanahalli,1251,2.0,47.0,2.0
Gattahalli,1028,2.0,45.5,2.0
Arekere,1222,2.0,45.0,2.0
Bannerghatta Road,1170,2.0,66.0,3.0
Hebbal,2400,4.0,245.0,3.0
Ramanjaneyanagar,1385,2.0,48.48,3.0
HSR Layout,1372,2.0,68.0,2.0
Magadi Road,1282,2.0,49.0,3.0
Mico Layout,5000,9.0,210.0,9.0
7th Block Jayanagar,3000,3.0,528.0,5.0
Kanakpura Road,1135,2.0,39.73,2.0
Whitefield,1768,3.0,101.0,3.0
Byatarayanapura,1325,2.0,90.0,3.0
Electronic City,1599,3.0,99.0,3.0
Whitefield,1500,3.0,61.95,3.0
2nd Phase JP Nagar,2610,3.0,499.0,3.0
Uttarahalli,1286,2.0,63.0,2.0
Kammanahalli,2845,5.0,140.0,5.0
K G Colony,1600,2.0,50.0,3.0
Hennur Road,1195 - 1440,2.0,63.77,2.0
Hebbal,3450,5.0,260.0,3.0
Munnekollal,1102,2.0,53.67,2.0
Yelahanka,1350,2.0,54.0,2.0
Banashankari,1200,2.0,42.0,3.0
Hosa Road,1300,6.0,145.0,6.0
Herohalli,1800,1.0,80.0,2.0
Chikkabanavar,950,2.0,40.0,2.0
Kanakpura Road,525,1.0,27.25,1.0
Attibele,656,2.0,25.0,2.0
Marathahalli,1780,4.0,175.0,4.0
3rd Block Hrbr Layout,1056,2.0,80.0,2.0
Bannerghatta Road,595,1.0,33.32,1.0
Ittamadu,1080,2.0,50.0,2.0
7th Phase JP Nagar,2225,3.0,160.0,3.0
Bommasandra,1126,2.0,28.15,2.0
Electronics City Phase 1,1490,3.0,84.0,3.0
HRBR Layout,2000,4.0,300.0,4.0
Sarjapur  Road,1550,3.0,100.0,3.0
,1600,3.0,86.0,3.0
Ashwini layout,1160,2.0,55.0,2.0
Whitefield,4144,4.0,315.0,4.0
Sarjapur  Road,2100,3.0,125.0,3.0
Vittasandra,1404,2.0,69.3,2.0
Sarjapur  Road,2230,4.0,225.0,4.0
Marathalli bridge,1544,3.0,120.0,3.0
Banashankari Stage III,1305,2.0,58.7,3.0
Marathahalli,1230,2.0,80.0,2.0
T.C PALYA,1200,2.0,65.0,2.0
Harlur,1460,3.0,73.0,3.0
Sarjapur  Road,1200 - 2400,,34.185,
Gottigere,967,2.0,45.0,2.0
Byatarayanapura,540,1.0,36.0,1.0
Hormavu,715,1.0,46.0,1.0
Whitefield,2500,3.0,313.0,3.0
Dooravani Nagar,1578,3.0,180.0,3.0
Mysore Road,1020,2.0,48.95,2.0
Jigani,1020,2.0,40.0,2.0
Koramangala,1253,2.0,102.0,2.0
JCR Layout,1180,2.0,42.0,2.0
Nehru Nagar,961,2.0,38.0,2.0
Kanakapura,1419,3.0,75.0,3.0
Harlur,1709,3.0,150.0,3.0
Papareddipalya,1600,2.0,115.0,2.0
Venkatapura,416,1.0,18.5,1.0
Sanjay nagar,1100,2.0,98.0,2.0
HSR Layout,1430,2.0,65.0,3.0
Sneha Colony,1260,2.0,45.0,2.0
RMV Extension,1630,3.0,85.0,3.0
